AEGISLOG,HEROMOTOCO,AUROPHARMA,INDIGO,GODREJCP,IDFCFIRSTB,,,IOC,SBIN,,,,,TORNTPHARM,,,,COCHINSHIP,BANDHANBNK,GESHIP,CASTROLIND,APLLTD,AKUMS,BPCL,AUROPHARMA,SBIN,ONGC,MARUTI,,LT,MARUTI,,RECLTD,MAXHEALTH,,,HUDCO,TCS,IRCTC,HEROMOTOCO,BPCL,MARUTI,KPITTECH,NIFTY ALPHA LOW-VOLATILITY 30,OIL
AFCONS,HINDALCO,AXISBANK,INDUSTOWER,HAL,INDUSTOWER,,,JPPOWER,SHRIRAMFIN,,,,,ZYDUSLIFE,,,,COFORGE,BANKINDIA,GSPL,CDSL,APTUS,ALIVUS,BRITANNIA,AXISBANK,SHRIRAMFIN,PIDILITIND,MAXHEALTH,,MAXHEALTH,NESTLEIND,,RVNL,NAUKRI,,,IEX,WIPRO,ITC,HINDALCO,BRITANNIA,NESTLEIND,LTIM,PIDILITIND,PAYTM
AFFLE,HINDUNILVR,BAJAJ-AUTO,INOXWIND,HAVELLS,IRCTC,,,JSWENERGY,,,,,,,,,,COLPAL,BDL,HFCL,CESC,ARE&M,ALKEM,CANBK,BAJAJ-AUTO,,PIIND,NAUKRI,,MOTHERSON,NIFTY MNC,,,NIFTY SERVICES SECTOR,,,IGL,,LTIM,HINDUNILVR,CANBK,NIFTY100 LOW VOLATILITY 30,MARICO,SBIN,PERSISTENT
AIAENG,ICICIBANK,BAJAJFINSV,IREDA,HYUNDAI,LUPIN,,,MGL,,,,,,,,,,CONCOR,BERGEPAINT,HINDCOPPER,CHAMBLFERT,ASAHIINDIA,ALKYLAMINE,CGPOWER,BAJAJFINSV,,RELIANCE,NESTLEIND,,NIFTY INFRASTRUCTURE,OFSS,,,NTPC,,,INDIANB,,MARUTI,ICICIBANK,CGPOWER,PIDILITIND,NESTLEIND,SIEMENS,POLICYBZR
AIIL,INDUSINDBK,BAJFINANCE,JUBLFOOD,ICICIGI,MARICO,,,NHPC,,,,,,,,,,CUMMINSIND,BHARATFORG,HSCL,CREDITACC,ASTERDM,ALOKINDS,CHOLAFIN,BAJAJHFL,,SHREECEM,NIFTY INDIA CONSUMPTION,,NTPC,POWERINDIA,,,POWERGRID,,,INFY,,NESTLEIND,INDUSINDBK,CHOLAFIN,RELIANCE,NIFTY200 QUALITY 30,SUNPHARMA,SIEMENS
AJANTPHARM,INFY,BALKRISIND,KALYANKJIL,ICICIPRULI,MAXHEALTH,,,NIFTY ENERGY,,,,,,,,,,DIXON,BHARTIHEXA,IEX,CROMPTON,ASTRAZEN,AMBER,CIPLA,BAJAJHLDNG,,SRF,TATACONSUM,,ONGC,SCHAEFFLER,,,SBILIFE,,,IOC,,NIFTY100 QUALITY 30,INFY,CIPLA,SBILIFE,OFSS,TCS,SUNPHARMA
AKUMS,ITC,BANDHANBNK,KAYNES,INDHOTEL,MPHASIS,,,NLCINDIA,,,,,,,,,,ESCORTS,BHEL,IIFL,CYIENT,ATUL,ANANDRATHI,COALINDIA,BAJFINANCE,,TATAPOWER,TATAPOWER,,POWERGRID,SIEMENS,,,SBIN,,,IRFC,,PIDILITIND,ITC,COALINDIA,SUNPHARMA,PAGEIND,TECHM,TECHM
ALIVUS,JIOFIN,BANKBARODA,KFINTECH,INDIGO,MRF,,,NTPC,,,,,,,,,,EXIDEIND,BIOCON,INOXWIND,DATAPATTNS,BALRAMCHIN,ANANTRAJ,DABUR,BANDHANBNK,,TATASTEEL,TITAN,,RELIANCE,SKFINDIA,,,SHRIRAMFIN,,,ITC,,TCS,JIOFIN,DABUR,TCS,PERSISTENT,TORNTPHARM,TORNTPHARM
ALKEM,JSWSTEEL,BANKINDIA,LUPIN,IOC,MUTHOOTFIN,,,OIL,,,,,,,,,,FEDERALBNK,BLUESTARCO,KAYNES,DELHIVERY,BASF,ANGELONE,DIVISLAB,BANKBARODA,,TORNTPOWER,TRENT,,SHREECEM,TIMKEN,,,TATAPOWER,,,LICHSGFIN,,TECHM,JSWSTEEL,DIVISLAB,TITAN,PIDILITIND,TVSMOTOR,TRENT
ALKYLAMINE,KOTAKBANK,BDL,M&M,IRFC,NHPC,,,ONGC,,,,,,,,,,GLENMARK,BSE,KEC,DEVYANI,BATAINDIA,APARINDS,DLF,BANKINDIA,,ULTRACEMCO,TVSMOTOR,,SIEMENS,UBL,,,TCS,,,MANAPPURAM,,UNITDSPR,KOTAKBANK,DLF,TORNTPHARM,POLYCAB,ULTRACEMCO,UNITDSPR
ALOKINDS,LT,BEL,MAZDOCK,JINDALSTEL,NIFTY MIDCAP 50,,,PETRONET,,,,,,,,,,GMRAIRPORT,COCHINSHIP,KFINTECH,FIRSTCRY,BAYERCROP,APLAPOLLO,DMART,BDL,,UPL,UNITDSPR,,TATAPOWER,UNITDSPR,,,TECHM,,,MPHASIS,,WIPRO,LT,DMART,ULTRACEMCO,TATAELXSI,UNITDSPR,VEDL
AMBER,M&M,BHARATFORG,MCX,JSWENERGY,NMDC,,,POWERGRID,,,,,,,,,,GODREJPROP,COFORGE,LALPATHLAB,FIVESTAR,BBTC,APLLTD,DRREDDY,BEL,,VEDL,VBL,,ULTRACEMCO,VEDL,,,WIPRO,,,NATIONALUM,,ZYDUSLIFE,M&M,DRREDDY,WIPRO,TCS,ZYDUSLIFE,VOLTAS
AMBUJACEM,MARUTI,BHARTIARTL,MOTILALOFS,LICI,OBEROIRLTY,,,POWERINDIA,,,,,,,,,,HDFCAMC,COLPAL,LAURUSLABS,FSL,BEML,APOLLOTYRE,EICHERMOT,BHARATFORG,,,,,,,,,,,,NHPC,,,MARUTI,EICHERMOT,,,,
ANANDRATHI,NESTLEIND,BHEL,MUTHOOTFIN,LODHA,OFSS,,,RELIANCE,,,,,,,,,,HINDPETRO,CONCOR,MCX,GESHIP,BIKAJI,APTUS,ETERNAL,BHARTIARTL,,,,,,,,,,,,NIFTY DIVIDEND OPPORTUNITIES 50,,,NESTLEIND,ETERNAL,,,,
ANANTRAJ,NIFTY 50,BIOCON,NATIONALUM,LTIM,OIL,,,RPOWER,,,,,,,,,,HINDZINC,COROMANDEL,NATCOPHARM,GODFRYPHLP,BLS,ARE&M,GAIL,BHARTIHEXA,,,,,,,,,,,,NMDC,,,NIFTY50 EQUAL WEIGHT,GAIL,,,,
ANGELONE,NTPC,BLUESTARCO,NAUKRI,MOTHERSON,PAGEIND,,,SIEMENS,,,,,,,,,,HUDCO,CRISIL,NAVINFLUOR,GODIGIT,BLUEDART,ASAHIINDIA,GODREJCP,BHEL,,,,,,,,,,,,NTPC,,,NTPC,GODREJCP,,,,
APARINDS,ONGC,BOSCHLTD,NIFTY ALPHA 50,NAUKRI,PAYTM,,,SJVN,,,,,,,,,,IDEA,CUMMINSIND,NBCC,GRSE,BRIGADE,ASHOKLEY,GRASIM,BIOCON,,,,,,,,,,,,OFSS,,,ONGC,GRASIM,,,,
APLAPOLLO,POWERGRID,BPCL,OFSS,NIFTY NEXT 50,PERSISTENT,,,SUZLON,,,,,,,,,,IDFCFIRSTB,DALBHARAT,NCC,GSPL,BSOFT,ASTERDM,HAL,BOSCHLTD,,,,,,,,,,,,OIL,,,POWERGRID,HAL,,,,
APLLTD,RELIANCE,BRITANNIA,PAYTM,PFC,PETRONET,,,TATAPOWER,,,,,,,,,,IGL,DEEPAKNTR,NEULANDLAB,HBLENGINE,CAMPUS,ASTRAL,HAVELLS,BPCL,,,,,,,,,,,,ONGC,,,RELIANCE,HAVELLS,,,,
APOLLOHOSP,SBILIFE,BSE,PGEL,PIDILITIND,PHOENIXLTD,,,THERMAX,,,,,,,,,,INDIANB,DIXON,NIFTY SMALLCAP 50,HFCL,CAMS,ASTRAZEN,HCLTECH,BRITANNIA,,,,,,,,,,,,PAGEIND,,,SBILIFE,HCLTECH,,,,
APOLLOTYRE,SBIN,BSOFT,PHOENIXLTD,PNB,PIIND,,,TORNTPOWER,,,,,,,,,,INDUSTOWER,EMAMILTD,PEL,HINDCOPPER,CANFINHOME,ATGL,HDFCBANK,BSE,,,,,,,,,,,,PETRONET,,,SBIN,HDFCBANK,,,,
APTUS,SHRIRAMFIN,CAMS,POLICYBZR,RECLTD,POLICYBZR,,,TRITURBINE,,,,,,,,,,IRB,ENDURANCE,PNBHOUSING,HSCL,CAPLIPOINT,ATUL,HDFCLIFE,CANBK,,,,,,,,,,,,PFC,,,SHRIRAMFIN,HDFCLIFE,,,,
ARE&M,SUNPHARMA,CANBK,POWERINDIA,SHREECEM,POLYCAB,,,,,,,,,,,,,IRCTC,ESCORTS,POONAWALLA,IDBI,CARBORUNIV,AUBANK,HEROMOTOCO,CGPOWER,,,,,,,,,,,,POWERGRID,,,SUNPHARMA,HEROMOTOCO,,,,
ASAHIINDIA,TATACONSUM,CDSL,PPLPHARMA,SIEMENS,PRESTIGE,,,,,,,,,,,,,IREDA,EXIDEIND,PPLPHARMA,IEX,CASTROLIND,AUROPHARMA,HINDALCO,CHOLAFIN,,,,,,,,,,,,RECLTD,,,TATACONSUM,HINDALCO,,,,
ASHOKLEY,TATAMOTORS,CESC,RPOWER,SWIGGY,SAIL,,,,,,,,,,,,,JUBLFOOD,FEDERALBNK,RADICO,IFCI,CCL,AWL,HINDUNILVR,CIPLA,,,,,,,,,,,,SAIL,,,TATAMOTORS,HINDUNILVR,,,,
ASIANPAINT,TATASTEEL,CGPOWER,RVNL,TATAPOWER,SBICARD,,,,,,,,,,,,,KALYANKJIL,FLUOROCHEM,RAMCOCEM,IGIL,CDSL,BALKRISIND,HYUNDAI,COALINDIA,,,,,,,,,,,,SBIN,,,TATASTEEL,HYUNDAI,,,,
ASTERDM,TCS,CHAMBLFERT,SUZLON,TORNTPHARM,SRF,,,,,,,,,,,,,KPITTECH,FORTIS,RKFORGE,IIFL,CEATLTD,BALRAMCHIN,ICICIBANK,COCHINSHIP,,,,,,,,,,,,SHRIRAMFIN,,,TCS,ICICIBANK,,,,
ASTRAL,TECHM,CHOLAFIN,TORNTPOWER,TVSMOTOR,SUPREMEIND,,,,,,,,,,,,,LICHSGFIN,GICRE,RPOWER,IKS,CENTRALBK,BANDHANBNK,ICICIGI,COFORGE,,,,,,,,,,,,TCS,,,TECHM,ICICIGI,,,,
ASTRAZEN,TITAN,CIPLA,TRENT,UNITDSPR,TIINDIA,,,,,,,,,,,,,LTF,GLAND,SONATSOFTW,INDIAMART,CENTURYPLY,BANKINDIA,ICICIPRULI,COLPAL,,,,,,,,,,,,TECHM,,,TITAN,ICICIPRULI,,,,
ATGL,TRENT,COALINDIA,UPL,VBL,TORNTPOWER,,,,,,,,,,,,,LUPIN,GLAXO,TATACHEM,INOXWIND,CERA,BASF,INDHOTEL,CONCOR,,,,,,,,,,,,UNIONBANK,,,TRENT,INDHOTEL,,,,
ATUL,ULTRACEMCO,COFORGE,VEDL,VEDL,VOLTAS,,,,,,,,,,,,,M&MFIN,GLENMARK,TEJASNET,IRCON,CESC,BATAINDIA,INDIGO,CUMMINSIND,,,,,,,,,,,,VEDL,,,ULTRACEMCO,INDIGO,,,,
AUBANK,WIPRO,COLPAL,VOLTAS,ZYDUSLIFE,YESBANK,,,,,,,,,,,,,MAHABANK,GMRAIRPORT,ZENSARTECH,ITI,CGCL,BAYERCROP,INDUSINDBK,DABUR,,,,,,,,,,,,WIPRO,,,WIPRO,INDUSINDBK,,,,
AUROPHARMA,,CONCOR,,,,,,,,,,,,,,,,MANKIND,GODREJIND,,JBMA,CHALET,BBTC,INFY,DIVISLAB,,,,,,,,,,,,,,,,INFY,,,,
AWL,,CROMPTON,,,,,,,,,,,,,,,,MARICO,GODREJPROP,,JWL,CHAMBLFERT,BDL,IOC,DIXON,,,,,,,,,,,,,,,,IOC,,,,
AXISBANK,,CUMMINSIND,,,,,,,,,,,,,,,,MAXHEALTH,GUJGASLTD,,KARURVYSYA,CHENNPETRO,BEML,IRFC,DLF,,,,,,,,,,,,,,,,IRFC,,,,
